Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
IEZ	464288844	iShares Dow Jones US Oil Equipment & Services Index Fund	Equity	NATURAL RESOURCES
IFAS	464288463	iShares FTSE EPRA/NAREIT Developed Asia Index Fund	Global Equity	REAL ESTATE
IFEU	464288471	iShares FTSE EPRA/NAREIT Developed Europe Index Fund	Global Equity	REAL ESTATE
IFGL	464288489	iShares FTSE EPRA/NAREIT Developed Real Estate ex-US Index Fund	Global Equity	REAL ESTATE
IFNA	464288455	iShares FTSE EPRA/NAREIT North America Index Fund	Global Equity	REAL ESTATE
IFSM	464288497	iShares FTSE Developed Small Cap ex-North America Index Fund	Global Equity	SMALL-CAP
IGE	464287374	iShares S&P North American Natural Resources Sector Index Fund	Equity	NATURAL RESOURCES
IGEM	268461704	EGShares Industrials GEMS ETF	Equity	INDUSTRIALS
IGF	464288372	iShares S&P Global Infrastructure Index Fund	Global Equity	GLOBAL
IGM	464287549	iShares S&P North American Technology Sector Index Fund	Equity	TECHNOLOGY
IGN	464287531	iShares S&P North American Technology-Multimedia Networking Index Fund	Equity	TELECOMMUNICATION
IGOV	464288117	iShares S&P/Citigroup International Treasury Bond Fund Ex-US	Fixed Income	INCOME
IGS	74347R123	ProShares Short Investment Grade Corporate	Fixed Income	FIXED INCOME
IGU	74348A806	ProShares Ultra Investment Grade Corporate	Fixed Income	FIXED INCOME
IGV	464287515	iShares S&P North American Technology-Software Index Fund	Equity	TECHNOLOGY
IHE	464288836	iShares Dow Jones US Pharmaceuticals Index Fund	Equity	HEALTH/BIOTECHNOLOGY
IHF	464288828	iShares Dow Jones US Health Care Providers Index Fund	Equity	HEALTH/BIOTECHNOLOGY
IHI	464288810	iShares Dow Jones US Medical Devices Index Fund	Equity	HEALTH/BIOTECHNOLOGY
IHY	57061R205	Market Vectors International High Yield Bond ETF	Fixed Income	FIXED INCOME
IJH	464287507	iShares Core S&P MidCap ETF	Equity	MID-CAP
IJJ	464287705	iShares S&P MidCap 400 Value Index Fund	Equity	VALUE
IJK	464287606	iShares S&P MidCap 400 Growth Index Fund	Equity	GROWTH
IJR	464287804	iShares Core S&P Small-Cap ETF	Equity	SMALL-CAP
IJS	464287879	iShares S&P SmallCap 600 Value Index Fund	Equity	VALUE
IJT	464287887	iShares S&P SmallCap 600 Growth Index Fund	Equity	GROWTH
ILB	72201R791	PIMCO Global Advantage Inflation-Linked Bond Exchange-Traded Fund	Fixed Income	FIXED INCOME
ILF	464287390	iShares S&P Latin America 40 Index Fund	Global Equity	LARGE-CAP
ILTB	464289479	iShares Core Long-Term U.S. Bond ETF	Fixed Income	FIXED INCOME
INCO	268461761	EG Shares India Consumer ETF	Global Equity	CONSUMER
INDA	46429B598	iShares MSCI India Index Fund	Global Equity	EMERGING MARKETS
INDL	25459W383	Direxion Daily India Bull 3X Shares	Global Equity	EMERGING MARKETS
INDY	464289529	iShares S&P India Nifty 50 Index Fund	Global Equity	EMERGING MARKETS
INFL	25154W226	PowerShares DB US Inflation Exchange Traded Notes	Fixed Income	FIXED INCOME
INKM	78467V202	SPDR SSgA Income Allocation ETF	Global Equity	INCOME
INP	06739F291	iPath MSCI India Index ETN	Global Equity	EMERGING MARKETS
INR	61747W265	Market Vectors Indian Rupee/USD Exchange Traded Notes	Currency	EMERGING MARKETS
INSD	25459Y777	Direxion Large Cap Insider Sentiment Shares	Equity	LARGE-CAP
INXX	268461845	EGShares India Infrastructure ETF	Global Equity	GLOBAL
INY	78464A433	SPDR Nuveen Barclays New York Municipal Bond ETF	Fixed Income	FIXED INCOME
IOIL	45409B842	IQ Global Oil Small Cap ETF	Global Equity	NATURAL RESOURCES
IOO	464287572	iShares S&P Global 100 Index Fund	Global Equity	LARGE-CAP
IPAL	22542D613	VelocityShares 2x Inverse Palladium ETN linked to the S&P GSCI Palladium Index ER	Commodity	PRECIOUS METALS
IPD	78463X731	SPDR S&P International Consumer Discretionary Sector ETF	Global Equity	CONSUMER
IPE	78464A656	SPDR Barclays TIPS ETF	Fixed Income	FIXED INCOME
IPF	78463X699	SPDR S&P International Financial Sector ETF	Global Equity	FINANCIAL SERVICES
IPFF	46429B135	iShares S&P International Preferred Stock Index Fund	Global Equity	INCOME
IPK	78463X657	SPDR S&P International Technology Sector ETF	Global Equity	TECHNOLOGY
IPLT	22542D639	VelocityShares 2x Inverse Platinum ETN linked to the S&P GSCI Platinum Index ER	Commodity	PRECIOUS METALS
IPN	78463X673	SPDR S&P International Industrial Sector ETF	Global Equity	INDUSTRIALS
IPS	78463X723	SPDR S&P International Consumer Staples Sector ETF	Global Equity	CONSUMER
IPU	78463X632	SPDR S&P International Utilities Sector ETF	Global Equity	UTILITY
IPW	78463X715	SPDR S&P International Energy Sector ETF	Global Equity	NATURAL RESOURCES
IRV	78463X665	SPDR S&P International Materials Sector ETF	Global Equity	BASIC MATERIALS
IRY	78463X681	SPDR S&P International Health Care Sector ETF	Global Equity	HEALTH/BIOTECHNOLOGY
ISHG	464288125	iShares S&P/Citigroup 1-3 Year International Treasury Bond Fund	Fixed Income	INCOME
IST	78463X640	SPDR S&P International Telecommunications Sector ETF	Global Equity	TELECOMMUNICATION
ISTB	46432F859	iShares Core Short-Term U.S. Bond ETF	Fixed Income	FIXED INCOME
ITA	464288760	iShares Dow Jones US Aerospace & Defense Index Fund	Equity	INDUSTRIALS
ITB	464288752	iShares Dow Jones US Home Construction Index Fund	Equity	CONSUMER
ITE	78464A672	SPDR Barclays Intermediate Term Treasury ETF	Fixed Income	FIXED INCOME
ITF	464287382	iShares S&P/TOPIX 150 Index Fund	Global Equity	LARGE-CAP
ITIP	46429B770	iShares International Inflation-Linked Bond Fund	Fixed Income	INTERNATIONAL
ITLY	25154W704	PowerShares DB Italian Treasury Bond Futures ETN	Fixed Income	FIXED INCOME
ITM	57060U845	Market Vectors Intermediate Municipal Index ETF	Fixed Income	FIXED INCOME
ITOT	464287150	iShares Core S&P Total U.S. Stock Market ETF	Equity	LARGE-CAP
ITR	78464A375	SPDR Barclays Intermediate Term Corporate Bond ETF	Fixed Income	FIXED INCOME
IVE	464287408	iShares S&P 500 Value Index Fund	Equity	VALUE
IVO	06740P668	iPath Inverse January 2021 S&P 500 VIX Short-Term Futures ETN	Equity	EQUITY SPECIALTY
IVOG	921932869	Vanguard S&P Mid-Cap 400 Growth ETF	Equity	GROWTH
IVOO	921932885	Vanguard S&P Mid-Cap 400 ETF	Equity	MID-CAP
IVOP	06741K486	iPath Inverse S&P 500 VIX Short-Term Futures	Equity	EQUITY SPECIALTY
IVOV	921932844	Vanguard S&P Mid-Cap 400 Value ETF	Equity	VALUE
IVV	464287200	iShares Core S&P 500 ETF	Equity	LARGE-CAP
IVW	464287309	iShares S&P 500 Growth Index Fund	Equity	GROWTH
IWB	464287622	iShares Russell 1000 Index Fund	Equity	GROWTH
IWC	464288869	iShares Russell Microcap Index Fund	Equity	SMALL-CAP
IWD	464287598	iShares Russell 1000 Value Index Fund	Equity	VALUE
IWF	464287614	iShares Russell 1000 Growth Index Fund	Equity	GROWTH
IWL	464289446	iShares Russell Top 200 Index Fund	Equity	LARGE-CAP
IWM	464287655	iShares Russell 2000 Index Fund	Equity	SMALL-CAP
IWN	464287630	iShares Russell 2000 Value Index Fund	Equity	VALUE
IWO	464287648	iShares Russell 2000 Growth Index Fund	Equity	GROWTH
IWP	464287481	iShares Russell Midcap Growth Index Fund	Equity	GROWTH
IWR	464287499	iShares Russell Midcap Index Fund	Equity	MID-CAP
IWS	464287473	iShares Russell Midcap Value Index Fund	Equity	VALUE
IWV	464287689	iShares Russell 3000 Index Fund	Equity	LARGE-CAP
IWW	464287663	iShares Russell 3000 Value Index Fund	Equity	VALUE
IWX	464289420	iShares Russell Top 200 Value Index Fund	Equity	VALUE
IWY	464289438	iShares Russell Top 200 Growth Index Fund	Equity	GROWTH
IWZ	464287671	iShares Russell 3000 Growth Index Fund	Equity	GROWTH
IXC	464287341	iShares S&P Global Energy Sector Index Fund	Global Equity	NATURAL RESOURCES
IXG	464287333	iShares S&P Global Financials Sector Index Fund	Global Equity	FINANCIAL SERVICES
IXJ	464287325	iShares S&P Global Healthcare Sector Index Fund	Global Equity	HEALTH/BIOTECHNOLOGY
IXN	464287291	iShares S&P Global Technology Sector Index Fund	Global Equity	TECHNOLOGY
IXP	464287275	iShares S&P Global Telecommunications Sector Index Fund	Global Equity	TELECOMMUNICATION
IXUS	46432F834	iShares Core MSCI Total International Stock ETF	Global Equity	INTERNATIONAL
IYC	464287580	iShares Dow Jones US Consumer Services Sector Index Fund	Equity	CONSUMER
IYE	464287796	iShares Dow Jones US Energy Sector Index Fund	Equity	NATURAL RESOURCES
IYF	464287788	iShares Dow Jones US Financial Sector Index Fund	Equity	FINANCIAL SERVICES
IYG	464287770	iShares Dow Jones US Financial Services Index Fund	Equity	FINANCIAL SERVICES
IYH	464287762	iShares Dow Jones US Healthcare Sector Index Fund	Equity	HEALTH/BIOTECHNOLOGY
IYJ	464287754	iShares Dow Jones US Industrial Sector Index Fund	Equity	INDUSTRIALS
IYK	464287812	iShares Dow Jones US Consumer Goods Sector Index Fund	Equity	CONSUMER
IYLD	46432F875	iShares Morningstar Multi-Asset Income Index Fund	Fixed Income	INCOME
IYM	464287838	iShares Dow Jones US Basic Materials Sector Index Fund	Equity	BASIC MATERIALS
IYR	464287739	iShares Dow Jones US Real Estate Index Fund	Equity	REAL ESTATE
IYT	464287192	iShares Dow Jones Transportation Average Index Fund	Equity	INDUSTRIALS
IYW	464287721	iShares Dow Jones US Technology Sector Index Fund	Equity	TECHNOLOGY
IYY	464287846	iShares Dow Jones US Index Fund	Equity	LARGE-CAP
IYZ	464287713	iShares Dow Jones US Telecommunications Sector Index Fund	Equity	TELECOMMUNICATION
JEM	06739H453	iPath GEMS Index ETN	Currency	EMERGING MARKETS
JFT	46625H761	KEYnotes First Trust Enhanced 130/30 Large Cap Index ETN	Equity	EQUITY SPECIALTY
JGBD	25154P188	PowerShares DB 3x Inverse Japanese Govt Bond Futures ETN	Fixed Income	ASIAN REGION
JGBL	25154W308	PowerShares DB Japanese Govt Bond Futures Exchange Traded Notes	Fixed Income	FIXED INCOME
JGBS	25154P170	PowerShares DB Inverse Japanese Govt Bond Futures ETN	Fixed Income	ASIAN REGION
JGBT	25154W209	PowerShares DB 3x Japanese Govt Bond Futures Exchange Traded Note	Fixed Income	FIXED INCOME
JJA	06739H206	iPath Dow Jones-UBS Agriculture Total Return Sub-Index ETN	Commodity	AGRICULTURE
JJC	06739F101	iPath Dow Jones-UBS Copper Subindex Total Return ETN	Commodity	PRECIOUS METALS
JJE	06739H750	iPath Dow Jones-UBS Energy Subindex Total Return ETN	Commodity	NATURAL RESOURCES
JJG	06739H305	iPath Dow Jones-UBS Grains Subindex Total Return ETN	Commodity	AGRICULTURE
JJM	06738G407	iPath Dow Jones-UBS Industrial Metals Subindex Total Return ETN	Commodity	COMMODITIES
JJN	06739F119	iPath Dow Jones-UBS Nickel Subindex Total Return ETN	Commodity	COMMODITIES
JJP	06739H248	iPath Dow Jones-UBS Precious Metals Subindex Total Return ETN	Commodity	PRECIOUS METALS
JJS	06739H230	iPath Dow Jones-UBS Softs Subindex Total Return ETN	Commodity	COMMODITIES
JJT	06739H198	iPath Dow Jones-UBS Tin Subindex Total Return ETN	Commodity	COMMODITIES
JJU	06739H321	iPath Dow Jones-UBS Aluminum Subindex Total Return ETN	Commodity	COMMODITIES
JKD	464287127	iShares Morningstar Large Core Index Fund	Equity	LARGE-CAP
JKE	464287119	iShares Morningstar Large Growth Index Fund	Equity	GROWTH
JKF	464288109	iShares Morningstar Large Value Index Fund	Equity	VALUE
JKG	464288208	iShares Morningstar Mid Core Index Fund	Equity	MID-CAP
JKH	464288307	iShares Morningstar Mid Growth Index Fund	Equity	GROWTH
JKI	464288406	iShares Morningstar Mid Value Index Fund	Equity	VALUE
JKJ	464288505	iShares Morningstar Small Core Index Fund	Equity	SMALL-CAP
JKK	464288604	iShares Morningstar Small Growth Index Fund	Equity	GROWTH
JKL	464288703	iShares Morningstar Small Value Index Fund	Equity	VALUE
JNK	78464A417	SPDR Barclays High Yield Bond ETF	Fixed Income	FIXED INCOME
JO	06739H297	iPath Dow Jones-UBS Coffee Subindex Total Return ETN	Commodity	AGRICULTURE
JPP	78463X830	SPDR Russell/Nomura Prime Japan ETF	Global Equity	LARGE-CAP
JPX	74347X229	ProShares UltraShort MSCI Pacific ex-Japan	Global Equity	ASIAN REGION
JSC	78463X822	SPDR Russell/Nomura Small Cap Japan ETF	Global Equity	SMALL-CAP
JUNR	37950E630	Global X Junior Miners ETF	Commodity	NATURAL RESOURCES
JXI	464288711	iShares S&P Global Utilities Sector Index Fund	Global Equity	UTILITY
JYF	97717W224	WisdomTree Dreyfus Japanese Yen Fund	Fixed Income	FIXED INCOME
JYN	06739G851	iPath JPY/USD Exchange Rate ETN	Currency	ASIAN REGION
KBE	78464A797	SPDR S&P Bank ETF	Equity	FINANCIAL SERVICES
KBWB	73937B746	PowerShares KBW Bank Portfolio	Equity	FINANCIAL SERVICES
KBWC	73937B738	PowerShares KBW Capital Markets Portfolio	Equity	FINANCIAL SERVICES
KBWD	73936Q793	PowerShares KBW High Dividend Yield Financial Portfolio	Equity	FINANCIAL SERVICES
KBWI	73937B720	PowerShares KBW Insurance Portfolio	Equity	FINANCIAL SERVICES
KBWP	73936Q777	PowerShares KBW Property & Casualty Insurance Portfolio	Equity	REAL ESTATE
KBWR	73937B712	PowerShares KBW Regional Banking Portfolio	Equity	FINANCIAL SERVICES
KBWX	73936Q785	PowerShares KBW International Financial Portfolio	Global Equity	FLEXIBLE PORTFOLIO
KBWY	73936Q819	PowerShares KBW Premium Yield Equity REIT Portfolio	Equity	REAL ESTATE
KCE	78464A771	SPDR S&P Capital Markets ETF	Equity	FINANCIAL SERVICES
KIE	78464A789	SPDR S&P Insurance ETF	Equity	FINANCIAL SERVICES
KLD	464288802	iShares KLD Select Social Index Fund	Equity	EQUITY SPECIALTY
KME	78464A524	SPDR S&P Mortgage Finance ETF	Equity	FINANCIAL SERVICES
KNOW	25459Y769	Direxion All Cap Insider Sentiment Shares	Equity	EQUITY SPECIALTY
KOL	57060U837	Market Vectors Coal ETF	Global Equity	GLOBAL
KOLD	74347W767	ProShares UltraShort DJ-UBS Natural Gas	Commodity	NATURAL RESOURCES
KRE	78464A698	SPDR S&P Regional Banking ETF	Equity	FINANCIAL SERVICES
KROO	45409B826	IQ Australia Small Cap ETF	Global Equity	SMALL-CAP
KRS	74347X476	ProShares Short KBW Regional Banking	Equity	FINANCIAL SERVICES
KRU	74347X484	ProShares Ultra KBW Regional Banking	Equity	FINANCIAL SERVICES
KWT	57061R783	Market Vectors Solar Energy ETF	Global Equity	NATURAL RESOURCES
KXI	464288737	iShares S&P Global Consumer Staples Index Fund	Global Equity	CONSUMER
LAG	78464A649	SPDR Barclays Aggregate Bond ETF	Fixed Income	FIXED INCOME
LATM	57060U530	Market Vectors Latin America Small-Cap Index ETF	Global Equity	INTERNATIONAL
LBJ	25459Y652	Direxion Daily Latin America Bull 3x Shares	Global Equity	INTERNATIONAL
LBND	25154N522	PowerShares DB 3x Long 25+ Year Treasury Bond ETN	Fixed Income	FIXED INCOME
LCPR	22542D563	VelocityShares 2x Long Copper ETN linked to the S&P GSCI Copper Index Excess Return	Commodity	PRECIOUS METALS
LD	06739H263	iPath Dow Jones-UBS Lead Subindex Total Return ETN	Commodity	COMMODITIES
LEDD	06740P197	iPath Pure Beta Lead ETN	Commodity	COMMODITIES
LEMB	464286517	iShares Emergine Markets Local Currency Bond Fund	Fixed Income	FIXED INCOME
LGEM	268461209	EGShares Basic Materials GEMS ETF	Equity	BASIC MATERIALS
LIT	37950E762	Global X Lithium ETF	Commodity	COMMODITIES
LPAL	22542D621	VelocityShares 2x Long Palladium ETN linked to the S&P GSCI Palladium Index ER	Commodity	PRECIOUS METALS
LPLT	22542D647	VelocityShares 2x Long Platinum ETN linked to the S&P GSCI Platinum Index ER	Commodity	PRECIOUS METALS
LQD	464287242	iShares iBoxx $ Investment Grade Corporate Bond Fund	Fixed Income	FIXED INCOME
LSC	4042EP602	ELEMENTS S&P Commodity Trends Indicator -- Total Return ETN	Commodity	COMMODITIES
LSKY	90267E330	Etracs Monthly 2x Leveraged ISE Cloud Computing Total Return Index	Global Equity	TECHNOLOGY
LSTK	06740P320	iPath Pure Beta Livestock ETN	Commodity	AGRICULTURE
LTL	74347R263	ProShares Ultra Telecommunications	Equity	TELECOMMUNICATION
LTPZ	72201R304	PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
LVL	18383M860	Guggenheim S&P Global Dividend Opportunities Index ETF	Global Equity	INCOME
LWC	78464A367	SPDR Barclays Long Term Corporate Bond ETF	Fixed Income	FIXED INCOME
MATH	00768Y826	Meidell Tactical Advantage ETF	Global Equity	FLEXIBLE PORTFOLIO
MATL	25459Y504	Direxion Daily Basic Materials Bull 3X Shares	Equity	BASIC MATERIALS
MBB	464288588	iShares Barclays MBS Bond Fund	Fixed Income	FIXED INCOME
MBG	78464A383	SPDR Barclays Mortgage Backed Bond ETF	Fixed Income	FIXED INCOME
MCHI	46429B671	iShares MSCI China Index Fund	Global Equity	ASIAN REGION
MCRO	45409B206	IQ Hedge Macro Tracker ETF	Global Equity	EQUITY SPECIALTY
MDD	78463X764	SPDR S&P International Mid Cap ETF	Global Equity	MID-CAP
MDIV	33738R100	Multi-Asset Diversified Income Index Fund	Equity	EQUITY SPECIALTY
MDY	78467Y107	MidCap SPDR Trust, Series 1	Equity	MID-CAP
MDYG	78464A821	SPDR S&P 400 Mid Cap Growth ETF	Equity	GROWTH
MDYV	78464A839	SPDR S&P 400 Mid Cap Value ETF	Equity	VALUE
MES	57060U779	Market Vectors Gulf States Index ETF	Global Equity	EMERGING MARKETS
MFLA	06740P809	iPath Long Enhanced MSCI EAFE Index ETN	Global Equity	GLOBAL
MFSA	06740P882	iPath Short Enhanced MSCI EAFE Index ETN	Global Equity	GLOBAL
MGC	921910873	Vanguard Mega Cap 300 Index Fund	Equity	LARGE-CAP
MGK	921910816	Vanguard Mega Cap 300 Growth Index Fund	Equity	GROWTH
MGV	921910840	Vanguard Mega Cap 300 Value Index Fund	Equity	VALUE
MIDU	25459W730	Direxion Daily Mid Cap Bull 3X Shares	Equity	MID-CAP
MIDZ	25459W136	Direxion Daily Mid Cap Bear 3X Shares	Equity	MID-CAP
MINT	72201R833	PIMCO Enhanced Short Maturity Exchange-Traded Fund	Fixed Income	FIXED INCOME
MLN	57060U886	Market Vectors Long Municipal Index ETF	Fixed Income	FIXED INCOME
MLPA	37950E473	Global X MLP ETF	Equity	NATURAL RESOURCES
MLPG	902641620	UBS E-TRACS Linked to the Alerian Natural Gas MLP ETN	Commodity	NATURAL RESOURCES
MLPI	902641646	UBS E-TRACS Alerian MLP Infrastructure ETN	Commodity	NATURAL RESOURCES
MLPL	902664200	UBS E-TRACS 2x Leveraged Long Alerian MLP Infrastructure ETN	Fixed Income	EQUITY SPECIALTY
MLPN	22542D852	Credit Suisse Cushing 30 MLP Index ETN	Equity	NATURAL RESOURCES
MLPS	902641612	UBS E-TRACS 1x Short Alerian MLP Infrastructure Total Return Index	Commodity	AGRICULTURE
MLPW	902664408	UBS AG Exchange Traded Access Securities Linked to the Wells Fargo MLP Index	Global Equity	FLEXIBLE PORTFOLIO
MLPY	61760E846	Morgan Stanley Cushing High Income Index ETN	Fixed Income	INCOME
MMTM	78468R705	SPDR S&P 1500 Momentum Tilt ETF	Equity	EQUITY SPECIALTY
MNA	45409B800	IQ ARB Merger Arbitrage ETF	Global Equity	GROWTH
MOAT	57060U134	Market Vectors Morningstar Wide Moat Research ETF	Equity	GROWTH
MOM	351680103	QuantShares U.S. Market Neutral Momentum Fund	Equity	EQUITY SPECIALTY
MONY	46429B259	iShares Financials Sector Bond Fund	Fixed Income	FINANCIAL SERVICES
MOO	57060U605	Market Vectors Agribusiness ETF	Global Equity	AGRICULTURE
MORL	90269A302	ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN	Equity	FIXED INCOME
MORT	57060U324	Market Vectors Mortgage REIT Income ETF	Fixed Income	REAL ESTATE
MTK	78464A102	SPDR Morgan Stanley Technology ETF	Equity	TECHNOLOGY
MUAB	464289388	iShares 2013 S&P AMT-Free Municipal Series	Fixed Income	FIXED INCOME
MUAC	464289362	iShares 2014 S&P AMT-Free Municipal Series	Fixed Income	FIXED INCOME
MUAD	464289339	iShares 2015 S&P AMT-Free Municipal Series	Fixed Income	FIXED INCOME
MUAE	464289313	iShares 2016 S&P AMT-Free Municipal Series	Fixed Income	FIXED INCOME
MUAF	464289271	iShares 2017 S&P AMT-Free Municipal Series	Fixed Income	FIXED INCOME
MUB	464288414	iShares S&P National Municipal Bond Fund	Fixed Income	FIXED INCOME
MUNI	72201R866	PIMCO Intermediate Municipal Bond Exchange-Traded Fund	Fixed Income	FIXED INCOME
MVV	74347R404	ProShares Ultra MidCap 400	Equity	MID-CAP
MXI	464288695	iShares S&P Global Materials Sector Index Fund	Global Equity	BASIC MATERIALS
MYY	74347R800	ProShares Short MidCap 400	Equity	MID-CAP
MZZ	74347X211	ProShares UltraShort MidCap 400	Equity	MID-CAP
NAGS	88166A201	Teucrium Natural Gas Fund	Commodity	NATURAL RESOURCES
NASI	70422P107	Pax ESG Shares North America Sustainability Index ETF	Equity	EQUITY SPECIALTY
NFO	18383M209	Guggenheim Insider Sentiment ETF	Equity	EQUITY SPECIALTY
NIB	06739H313	iPath Dow Jones-UBS Cocoa Subindex Total Return ETN	Commodity	AGRICULTURE
NINI	06740P213	iPath Pure Beta Nickel ETN	Commodity	COMMODITIES
NKY	74016W106	MAXIS Nikkei 225 Index Fund	Global Equity	ASIAN REGION
NLR	57060U704	Market Vectors Uranium+Nuclear Energy ETF	Global Equity	TECHNOLOGY
NORW	37950E747	Global X FTSE Norway 30 ETF	Global Equity	EUROPEAN REGION
NUCL	464288232	iShares S&P Global Nuclear Energy Index Fund	Global Equity	UTILITY
NUGT	25459W250	Direxion Daily Gold Miners Bull 3X Shares	Commodity	PRECIOUS METALS
NY	464287135	iShares NYSE 100 Index Fund	Equity	LARGE-CAP
NYC	464287143	iShares NYSE Composite Index Fund	Equity	LARGE-CAP
NYF	464288323	iShares S&P New York Municipal Bond Fund	Fixed Income	FIXED INCOME
OEF	464287101	iShares S&P 100 Index Fund	Equity	LARGE-CAP
OFF	90268A691	ETRACS Fisher-Gartman Risk Off ETN	Global Equity	EQUITY SPECIALTY
OGEM	268461860	EGShares Energy GEMS ETF	Global Equity	EMERGING MARKETS
OIH	57060U191	Market Vectors Oil Services ETF	Equity	NATURAL RESOURCES
OIL	06738C786	iPath S&P GSCI Crude Oil Total Return Index ETN	Commodity	NATURAL RESOURCES
OILZ	90267B815	Oil Futures Contango ETN due June 14, 2041	Commodity	NATURAL RESOURCES
OLEM	06740P221	iPath Pure Beta Crude Oil ETN	Commodity	NATURAL RESOURCES
OLO	25154K866	PowerShares DB Crude Oil Long ETN	Commodity	NATURAL RESOURCES
ONEF	782474522	Russell Equity ETF	Global Equity	GROWTH & INCOME
ONEQ	315912808	Fidelity NASDAQ Composite Index Tracking Stock Fund	Equity	LARGE-CAP
ONG	06740P312	iPath Pure Beta Energy ETN	Commodity	NATURAL RESOURCES
ONN	90268A717	ETRACS Fisher-Gartman Risk On ETN	Global Equity	EQUITY SPECIALTY
PAF	73936T854	PowerShares FTSE RAFI Asia Pacific ex-Japan Portfolio	Global Equity	ASIAN REGION
PAGG	73936Q702	PowerShares Global Agriculture Portfolio	Global Equity	AGRICULTURE
PALL	26923A106	ETFS Physical Palladium Shares	Commodity	PRECIOUS METALS
PAO	73936Q405	PowerShares RiverFront Tactical Balanced Growth Portfolio	Global Equity	FLEXIBLE PORTFOLIO
PBD	73936T615	PowerShares Global Clean Energy Portfolio	Global Equity	NATURAL RESOURCES
PBE	73935X856	PowerShares Dynamic Biotechnology & Genome Portfolio	Equity	HEALTH/BIOTECHNOLOGY
PBJ	73935X849	PowerShares Dynamic Food & Beverage Portfolio	Equity	CONSUMER
PBP	73936G308	PowerShares S&P 500 BuyWrite Portfolio	Equity	EQUITY SPECIALTY
PBS	73935X823	PowerShares Dynamic Media Portfolio	Equity	CONSUMER
PBW	73935X500	PowerShares WilderHill Clean Energy Portfolio	Equity	NATURAL RESOURCES
PCA	73936Q504	PowerShares RiverFront Tactical Growth & Income Portfolio	Global Equity	GROWTH & INCOME
PCEF	73936Q843	PowerShares CEF Income Composite Portfolio	Equity	INCOME
PCY	73936T573	PowerShares Emerging Markets Sovereign Debt Portfolio	Fixed Income	FIXED INCOME
PDN	73936T771	PowerShares FTSE RAFI Developed Markets ex-US Small-Mid Portfolio	Global Equity	SMALL-CAP
PDP	73935X153	PowerShares DWA Technical Leaders Portfolio	Equity	LARGE-CAP
PEJ	73935X757	PowerShares Dynamic Leisure & Entertainment Portfolio	Equity	CONSUMER
PEK	57060U597	Market Vectors China A shares ETF	Global Equity	ASIAN REGION
PERM	37950E358	Global X Permanent ETF	Fixed Income	FIXED INCOME
PEY	73935X302	PowerShares High Yield Equity Dividend Achievers Portfolio	Equity	INCOME
PEZ	73935X419	PowerShares Dynamic Consumer Discretionary Sector Portfolio	Equity	CONSUMER
PFF	464288687	iShares S&P US Preferred Stock Index Fund	Equity	INCOME
PFI	73935X377	PowerShares Dynamic Financial Sector Portfolio	Equity	FINANCIAL SERVICES
PFIG	73937B761	PowerShares Fundamental Investment Grade Corporate Bond Portfolio	Fixed Income	FIXED INCOME
PFM	73935X732	PowerShares Dividend Achievers Portfolio	Equity	INCOME
PFXF	57061R791	Market Vectors Preferred Securities ex Financials ETF	Equity	INCOME
PGD	06739H420	iPath Asian & Gulf Currency Revaluation ETN	Currency	EMERGING MARKETS
PGF	73935X229	PowerShares Financial Preferred Portfolio	Equity	FINANCIAL SERVICES
PGJ	73935X401	PowerShares Golden Dragon China Portfolio	Global Equity	ASIAN REGION
PGM	06739H255	iPath Dow Jones-UBS Platinum Subindex Total Return ETN	Commodity	PRECIOUS METALS
PGX	73936T565	PowerShares Preferred Portfolio	Equity	INCOME
PHB	73936T557	PowerShares Fundamental High Yield Corporate Bond Fund	Fixed Income	FIXED INCOME
PHO	73935X575	PowerShares Water Resources Portfolio	Equity	NATURAL RESOURCES
PIC	73935X641	PowerShares Dynamic Insurance Portfolio	Equity	FINANCIAL SERVICES
PICB	73936Q835	PowerShares International Corporate Bond Portfolio ETF	Fixed Income	FIXED INCOME
PICK	464286368	iShares MSCI Global Select Metals & Mining Producers Fund	Global Equity	NATURAL RESOURCES
PID	73935X716	PowerShares International Dividend Achievers Portfolio	Global Equity	INCOME
PIE	73936Q207	PowerShares DWA Emerging Markets Technical Leaders Portfolio	Global Equity	EMERGING MARKETS
PIN	73935L100	PowerShares India Portfolio	Global Equity	EMERGING MARKETS
PIO	73936T623	PowerShares Global Water Portfolio	Global Equity	GLOBAL
PIQ	73935X468	PowerShares Dynamic MagniQuant Portfolio	Equity	GROWTH
PIZ	73936Q108	PowerShares DWA Developed Markets Technical Leaders Portfolio	Global Equity	GLOBAL
PJB	73935X336	PowerShares Dynamic Banking Sector Portfolio	Equity	FINANCIAL SERVICES
PJP	73935X799	PowerShares Dynamic Pharmaceuticals Portfolio	Equity	HEALTH/BIOTECHNOLOGY
PKB	73935X666	PowerShares Dynamic Building & Construction Portfolio	Equity	INDUSTRIALS
PKN	73937B100	PowerShares Global Nuclear Energy Portfolio	Global Equity	UTILITY
PKOL	73936Q884	PowerShares Global Coal Portfolio	Global Equity	NATURAL RESOURCES
PKW	73935X286	PowerShares Buyback Achievers Portfolio	Equity	GROWTH
