Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
BWV	06739F135	iPath CBOE S&P 500 BuyWrite Index ETN	Equity	EQUITY SPECIALTY
BWX	78464A516	SPDR Barclays Capital International Treasury Bond ETF	Fixed Income	INCOME
BWZ	78464A334	SPDR Barclays International Treasury Bond ETF	Fixed Income	INCOME
BXDB	06740H658	Barclays ETN+ Short B linked to the S&P 500 Total Return Index	Equity	LARGE-CAP
BXDC	06740H641	Barclays ETN+ Short C linked to the S&P 500 Total Return Index	Equity	LARGE-CAP
BXUB	06740H674	Barclays ETN+ Long B linked to the S&P 500 Total Return Index	Equity	LARGE-CAP
BXUC	06740H666	Barclays ETN+ Long C linked to the S&P 500 Total Return Index	Equity	LARGE-CAP
BZF	97717W240	WisdomTree Dreyfus Brazilian Real Fund	Fixed Income	FIXED INCOME
BZQ	74348A673	ProShares Ultrashort MSCI Brazil	Global Equity	INTERNATIONAL
CAD	72201R759	PIMCO Canada Bond Index Fund	Fixed Income	INTERNATIONAL
CAFE	06740P148	iPath Pure Beta Coffee ETN	Commodity	AGRICULTURE
CANE	88166A409	Teucrium Sugar Fund	Commodity	AGRICULTURE
CAPE	06742A669	Barclays ETN+ Shiller CAPE├ó┬ä┬ó ETN	Equity	INCOME
CARZ	33734X309	First Trust NASDAQ Global Auto Index Fund	Global Equity	CONSUMER
CBND	78464A144	SPDR Barclays Issuer Scored Corporate Bond ETF	Fixed Income	FIXED INCOME
CCX	97717X859	WisdomTree Dreyfus Commodity Currency Fund	Currency	FIXED INCOME
CCXE	97717W752	WisdomTree Commodity Country Equity Fund	Global Equity	BASIC MATERIALS
CEMB	464286251	iShares Emerging Markets Corporate Bond Fund	Fixed Income	FIXED INCOME
CEW	97717W133	WisdomTree Dreyfus Emerging Currency Fund	Currency	EMERGING MARKETS
CFT	464288620	iShares Barclays Credit Bond Fund	Fixed Income	FIXED INCOME
CGW	18383Q507	Guggenheim S&P Global Water Index ETF	Global Equity	GLOBAL
CHEP	351680202	QuantShares U.S. Market Neutral Value Fund	Equity	VALUE
CHIE	37950E507	Global X China Energy ETF	Global Equity	ASIAN REGION
CHII	37950E705	Global X China Industrials ETF	Global Equity	INDUSTRIALS
CHIM	37950E879	Global X China Materials ETF	Global Equity	BASIC MATERIALS
CHIQ	37950E408	Global X China Consumer ETF	Global Equity	CONSUMER
CHIX	37950E606	Global X China Financials ETF	Global Equity	FINANCIAL SERVICES
CHLC	57060U282	Market Vectors Renminbi Bond ETF	Currency	ASIAN REGION
CHOC	06740P130	iPath Pure Beta Cocoa ETN	Commodity	AGRICULTURE
CHXF	97717X719	WisdomTree China Dividend ex-Financials Fund	Global Equity	EMERGING MARKETS
CHXX	268461837	EGShares China Infrastructure ETF	Global Equity	GLOBAL
CIU	464288638	iShares Barclays Intermediate Credit Bond Fund	Fixed Income	FIXED INCOME
CLY	464289511	iShares 10+ Year Credit Bond Fund	Fixed Income	FIXED INCOME
CMBS	46429B366	iShares Barclays CMBS Bond Fund	Fixed Income	FIXED INCOME
CMD	74347W676	ProShares UltraShort DJ-UBS Commodity	Commodity	COMMODITIES
CMF	464288356	iShares S&P California Municipal Bond Fund	Fixed Income	FIXED INCOME
CNDA	45409B867	IQ Canada Small Cap ETF	Global Equity	SMALL-CAP
CNPF	37950E481	Global X Canada Preferred ETF	Global Equity	INCOME
CNY	61747W257	Market Vectors Chinese Renminbi/USD ETN	Currency	ASIAN REGION
COBO	74348A749	ProShares USD Covered Bond ETF	Fixed Income	FIXED INCOME
COLX	57060U415	Market Vectors Colombia ETF	Global Equity	EMERGING MARKETS
COPX	37950E861	Global X Copper Miners ETF	Global Equity	PRECIOUS METALS
CORN	88166A102	Teucrium Corn Fund	Commodity	AGRICULTURE
CORP	72201R817	PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
COW	06739H743	iPath Dow Jones-UBS Livestock Subindex Total Return ETN	Commodity	AGRICULTURE
CPER	911718104	United States Copper Index Fund	Commodity	PRECIOUS METALS
CPI	45409B602	IQ CPI Inflation Hedged ETF	Equity	FLEXIBLE PORTFOLIO
CQQQ	18383Q135	Guggenheim China Technology ETF	Global Equity	TECHNOLOGY
CRBQ	00162Q304	Jefferies TR/J CRB Global Commodity Equity Index Fund	Global Equity	COMMODITIES
CROC	74347W460	ProShares UltraShort Australian Dollar	Currency	ASIAN REGION
CROP	45409B834	IQ Global Agribusiness Small Cap ETF	Global Equity	AGRICULTURE
CRUD	88166A300	Teucrium Crude Oil Fund	Commodity	NATURAL RESOURCES
CSD	18383M605	Guggenheim Spin-Off ETF	Equity	MID-CAP
CSJ	464288646	iShares Barclays 1-3 Year Credit Bond Fund	Fixed Income	FIXED INCOME
CSLS	22542D878	Credit Suisse Long/Short Liquid Index ETN	Global Equity	EQUITY SPECIALTY
CSM	74347R248	ProShares Credit Suisse 130/30	Equity	EQUITY SPECIALTY
CSMA	22542D845	Credit Suisse Merger Arbitrage Liquid Index ETN	Equity	EQUITY SPECIALTY
CSMB	22542D753	2x Monthly Leveraged Credit Suisse Merger Arbitrage Liquid Index	Equity	EQUITY SPECIALTY
CSMN	22542D720	Credit Suisse Market Neutral Global Equity ETN Linked to the HS Market Neutral Index	Global Equity	EQUITY SPECIALTY
CTNN	06740P155	iPath Pure Beta Cotton ETN	Commodity	AGRICULTURE
CU	33733J103	First Trust ISE Global Copper Index Fund	Global Equity	PRECIOUS METALS
CUPM	06740P189	iPath Pure Beta Copper ETN	Commodity	PRECIOUS METALS
CURE	25459Y876	Direxion Daily Healthcare Bull 3X Shares	Equity	HEALTH/BIOTECHNOLOGY
CUT	18383Q879	Guggenheim Timber ETF	Global Equity	NATURAL RESOURCES
CVOL	17316G727	C-Tracks ETN Based on the Performance of the Citi Volatility Index Total Return	Equity	LARGE-CAP
CVRT	73936Q751	PowerShares Covertible Securities Portfolio	Fixed Income	FIXED INCOME
CVY	18383M506	Guggenheim Multi-Asset Income ETF	Equity	GROWTH & INCOME
CWB	78464A359	SPDR Barclays Convertible Securities ETF	Fixed Income	FIXED INCOME
CWI	78463X848	SPDR MSCI ACWI ex-US ETF	Global Equity	INTERNATIONAL
CXA	78464A441	SPDR Nuveen Barclays California Municipal Bond ETF	Fixed Income	FIXED INCOME
CYB	97717W182	WisdomTree Dreyfus Chinese Yuan Fund	Fixed Income	FIXED INCOME
CZA	18383M720	Guggenheim Mid-Cap Core ETF	Global Equity	MID-CAP
DAG	25154H558	PowerShares DB Agriculture Double Long ETN	Commodity	AGRICULTURE
DBA	73936B408	PowerShares DB Agriculture Fund	Commodity	AGRICULTURE
DBB	73936B705	PowerShares DB Base Metals Fund	Commodity	COMMODITIES
DBBR	233051309	DBX MSCI Brazil Currency-Hedged Equity Fund	Global Equity	INTERNATIONAL
DBC	73935S105	PowerShares DB Commodity Index Tracking Fund	Commodity	COMMODITIES
DBCN	233051408	DBX MSCI Canada Currency-Hedged Equity Fund	Global Equity	INTERNATIONAL
DBE	73936B101	PowerShares DB Energy Fund	Commodity	NATURAL RESOURCES
DBEF	233051200	DBX MSCI EAFE Currency-Hedged Equity Fund	Global Equity	INTERNATIONAL
DBEM	233051101	DBX MSCI Emerging Markets Currency-Hedged Equity Fund	Global Equity	EMERGING MARKETS
DBJP	233051507	DBX MSCI Japan Currency-Hedged Equity Fund	Global Equity	ASIAN REGION
DBO	73936B507	PowerShares DB Oil Fund	Commodity	NATURAL RESOURCES
DBP	73936B200	PowerShares DB Precious Metals Fund	Commodity	PRECIOUS METALS
DBS	73936B309	PowerShares DB Silver Fund	Commodity	PRECIOUS METALS
DBU	97717W653	WisdomTree Global ex-US Utility Fund	Global Equity	UTILITY
DBV	73935Y102	PowerShares DB G10 Currency Harvest Fund	Currency	CURRENCY
DCNG	06740P239	iPath Seasonal Natural Gas ETN	Commodity	NATURAL RESOURCES
DDG	74347R222	ProShares Short Oil & Gas	Commodity	NATURAL RESOURCES
DDM	74347R305	ProShares Ultra Dow 30	Equity	LARGE-CAP
DDP	25154H467	PowerShares DB Commodity Short ETN	Commodity	COMMODITIES
DEE	25154H483	PowerShares DB Commodity Double Short ETN	Commodity	COMMODITIES
DEF	18383M878	Guggenheim Defensive Equity ETF	Equity	EQUITY SPECIALTY
DEFL	25154W217	PowerShares DB US Deflation Exchange Traded Notes	Fixed Income	FIXED INCOME
DEM	97717W315	WisdomTree Emerging Markets Equity Income Fund	Global Equity	EMERGING MARKETS
DES	97717W604	WisdomTree SmallCap Dividend Fund	Equity	INCOME
DEW	97717W877	WisdomTree Global Equity Income Fund	Global Equity	INCOME
DFE	97717W869	WisdomTree Europe SmallCap Dividend Fund	Global Equity	INCOME
DFJ	97717W836	WisdomTree Japan SmallCap Dividend Fund	Global Equity	INCOME
DFVL	06740P650	iPath US Treasury 5yr Bull ETN	Fixed Income	FIXED INCOME
DFVS	06740P643	iPath US Treasury 5yr Bear ETN	Fixed Income	FIXED INCOME
DGAZ	22542D530	VelocityShares 3x Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas Index Excess Return	Commodity	NATURAL RESOURCES
DGL	73936B606	PowerShares DB Gold Fund	Commodity	PRECIOUS METALS
DGLD	22542D670	VelocityShares 3x Inverse Gold ETN linked to the S&P GSCI Gold Index ER	Commodity	PRECIOUS METALS
DGP	25154H749	PowerShares DB Gold Double Long ETN	Commodity	PRECIOUS METALS
DGS	97717W281	WisdomTree Emerging Markets SmallCap Dividend Fund	Global Equity	EMERGING MARKETS
DGT	78464A706	SPDR Global Dow ETF	Global Equity	LARGE-CAP
DGZ	25154H731	PowerShares DB Gold Short ETN	Commodity	PRECIOUS METALS
DHS	97717W208	WisdomTree Equity Income Fund	Equity	INCOME
DIA	78467X109	SPDR Dow Jones Industrial Average ETF	Equity	LARGE-CAP
DIG	74347R719	ProShares Ultra Oil & Gas	Equity	NATURAL RESOURCES
DIM	97717W778	WisdomTree International MidCap Dividend Fund	Global Equity	MID-CAP
DIRT	06740P262	iPath Pure Beta Agriculture ETN	Commodity	AGRICULTURE
DJCI	902641679	UBS E-TRACS DJ-UBS Commodity Index Total Return	Commodity	COMMODITIES
DJP	06738C778	iPath Dow Jones-UBS Commodity Index Total Return ETN	Commodity	COMMODITIES
DLBL	06740L527	iPath US Treasury Long Bond Bull ETN	Fixed Income	FIXED INCOME
DLBS	06740L444	iPath US Treasury Long Bond Bear ETN	Fixed Income	FIXED INCOME
DLN	97717W307	WisdomTree LargeCap Dividend Fund	Equity	INCOME
DLS	97717W760	WisdomTree International SmallCap Dividend Fund	Global Equity	SMALL-CAP
DNL	97717W844	WisdomTree Global ex-US Growth Fund	Global Equity	GROWTH
DNO	912613205	United States Short Oil Fund, LP	Commodity	NATURAL RESOURCES
DOD	25153Q658	ELEMENTS Dow Jones High Yield Select 10 Total Return Index ETN	Fixed Income	FIXED INCOME
DOG	74347R701	ProShares Short Dow 30	Equity	LARGE-CAP
DOIL	22542D555	VelocityShares 3x Inverse Brent Crude ETN	Commodity	NATURAL RESOURCES
DOL	97717W794	WisdomTree International LargeCap Dividend Fund	Global Equity	INCOME
DON	97717W505	WisdomTree MidCap Dividend Fund	Equity	INCOME
DOO	97717W786	WisdomTree International Dividend ex-Financials Fund	Global Equity	INCOME
DPK	25459W169	Direxion Daily Developed Markets Bear 3X Shares	Global Equity	INTERNATIONAL
DPU	25154H459	PowerShares DB Commodity Long ETN	Commodity	COMMODITIES
DRGS	78009P135	RBS Global Big Pharma ETN	Global Equity	HEALTH/BIOTECHNOLOGY
DRN	25459W755	Direxion Daily Real Estate Bull 3x Shares	Equity	REAL ESTATE
DRR	617480280	Market Vectors Double Short Euro Exchange Traded Notes	Currency	EUROPEAN REGION
DRV	25459Y660	Direxion Daily Real Estate Bear 3x Shares	Equity	REAL ESTATE
DRW	97717W331	WisdomTree Global ex-US RealEstate Fund	Global Equity	REAL ESTATE
DSI	464288570	iShares KLD 400 Social Index Fund	Equity	EQUITY SPECIALTY
DSLV	22542D654	VelocityShares 3x Inverse Silver ETN linked to the S&P GSCI Silver Inverse Index ER	Commodity	PRECIOUS METALS
DSTJ	46634X864	JPMorgan Double Short US Long Bond Treasury Futures ETN	Fixed Income	FIXED INCOME
DSUM	73937B753	PowerShares Chinese Yuan Dim Sum Bond Portfolio	Fixed Income	ASIAN REGION
DSXJ	46634X823	JPMorgan Double Short US 10 Year Treasury Futures ETN	Fixed Income	FIXED INCOME
DTD	97717W109	WisdomTree Total Dividend Fund	Equity	INCOME
DTH	97717W802	WisdomTree DEFA Equity Income Fund	Global Equity	INCOME
DTN	97717W406	WisdomTree Dividend ex-Financials Fund	Equity	INCOME
DTO	25154K809	Powershares DB Crude Oil Double Short ETN	Commodity	NATURAL RESOURCES
DTUL	06740L469	iPath US Treasury 2-year Bull ETN	Fixed Income	FIXED INCOME
DTUS	06740L519	iPath US Treasury 2-year Bear ETN	Fixed Income	FIXED INCOME
DTYL	06740L493	iPath US Treasury 10-year Bull ETN	Fixed Income	FIXED INCOME
DTYS	06740L451	iPath US Treasury 10-year Bear ETN	Fixed Income	FIXED INCOME
DUG	74347X591	ProShares UltraShort Oil & Gas	Equity	NATURAL RESOURCES
