"New Stock List as of 1/17/2014",,,
TSLA,Tesla Mtrs Inc,NASDAQ Global Select,United States,Goods
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,NYQ,Taiwan,Technology
TSN,Tyson Foods Inc,NYSE Euronext,United States,Goods
TT,Trane Technologies plc,NYQ,Ireland,Industrials
TTC,Toro Co,NYSE Euronext,United States,Industrials
TTD,"The Trade Desk, Inc.",NGM,United States,Services
TTI,"TETRA TECHNOLOGIES, INC.",NYQ,United States,Industrials
TTWO,"Take-Two Interactive Software, Inc.",NMS,United States,Services
TU,TELUS CORPORATION,NYQ,Canada,Technology
TV,"GRUPO TELEVISA, S.A.B.",NYQ,Mexico,Technology
TW,Towers Watson & Company,NASDAQ Global Select,United States,Industrials
TW.L,TAYLOR WIMPEY PLC,LSE,United Kingdom,ConsumerDiscr
TWI,"TITAN INTERNATIONAL, INC.",NYQ,United States,Industrials
TWO,Two Hbrs Invt Corp,,United States,Financials
TX,TERNIUM S.A.,NYQ,Luxembourg,BasicMaterials
TXN,Texas Instruments Inc,NASDAQ Global Select,United States,Technology
TXT,Textron Inc,NYSE Euronext,United States,Industrials
TYL,"Tyler Technologies, Inc.",NYQ,United States,Technology
UA,Under Armour Inc,NYSE Euronext,United States,Goods
UAL,United Continental Hldg,NYSE Euronext,United States,Services
UBER,"Uber Technologies, Inc.",NYQ,United States,Technology
UBS,UBS Ag,NYSE Euronext,Switzerland,Financials
UCG.MI,UniCredit,Milan Stock Exchange,Italy,Financials
UDR,UDR Inc,NYSE Euronext,United States,Financials
UFI,"UNIFI, INC.",NYQ,United States,ConsumerDiscr
UGI,UGI Corp,NYSE Euronext,United States,Utilities
UHS,Universal Health Svcs,NYSE Euronext,United States,Health Care
UHT,UNIVERSAL HEALTH REALTY INCOME TRUST,NYQ,United States,Financials
UIS,UNISYS CORPORATION,NYQ,United States,Technology
UL,UNILEVER PLC,NYQ,United Kingdom,ConsumerStpl
UL.PA,Unibail-Rodamco,Euronext Paris,France,Financials
ULTA,Ulta Salon Cosmetics,NASDAQ Global Select,United States,Services
ULVR.L,Unilever,London Stock Exchange,United Kingdom,Goods
UMC,UNITED MICROELECTRONICS CORPORATION,NYQ,Taiwan,Technology
UN,CORGI UNH 2X DAILY ETF,BTS,US,Technology
UNF,UNIFIRST CORPORATION,NYQ,United States,Industrials
UNH,UnitedHealth Group,NYSE Euronext,United States,Health Care
UNM,Unum Group,NYSE Euronext,United States,Financials
UNP,Union Pacific Corp,NYSE Euronext,United States,Industrials
UPS,United Parcel Service,NYSE Euronext,United States,Industrials
URI,United Rentals Inc,NYSE Euronext,United States,Industrials
USB,US Bancorp,NYSE Euronext,United States,Financials
USG,USCF GOLD STRATEGY PLUS INCOME FUND,PCX,US,Technology
USNA,"USANA HEALTH SCIENCES, INC.",NYQ,United States,ConsumerStpl
UTI,"UNIVERSAL TECHNICAL INSTITUTE, INC.",NYQ,United States,ConsumerStpl
UTL,UNITIL CORPORATION,NYQ,United States,Utilities
UU.L,United Utilities Group,London Stock Exchange,United Kingdom,Utilities
UVV,UNIVERSAL CORPORATION,NYQ,United States,ConsumerStpl
V,Visa Inc,NYSE Euronext,United States,Financials
VAC,MARRIOTT VACATIONS WORLDWIDE CORPORATION,NYQ,United States,ConsumerDiscr
VAL,Valspar Corp,NYSE Euronext,United States,Industrials
VALE,VALE S.A.,NYQ,Brazil,BasicMaterials
VC,Visteon Corp,NYSE Euronext,United States,Goods
VEEV,Veeva Systems Inc.,NYQ,United States,Health Care
VFC,V F Corp,NYSE Euronext,United States,Goods
VG,"VENTURE GLOBAL, INC.",NYQ,United States,Energy
VHI,"VALHI, INC.",NYQ,United States,BasicMaterials
VICI,VICI Properties Inc.,NYQ,United States,Financials
VIE.PA,VEOLIA ENVIRONNEMENT SA,PAR,France,Industrials
VIV.PA,Vivendi,Euronext Paris,France,Technology
VLO,Valero Energy Corp,NYSE Euronext,United States,Oil & Gas
VLTO,Veralto Corporation,NYQ,United States,Industrials
VLY,Valley National Bancorp,NYSE Euronext,United States,Financials
VMC,Vulcan Materials Co,NYSE Euronext,United States,Industrials
VMI,Valmont Industries Inc,NYSE Euronext,United States,Industrials
VNO,Vornado Realty Trust,NYSE Euronext,United States,Financials
VOD.L,VODAFONE GROUP PUBLIC LIMITED COMPANY,LSE,United Kingdom,Technology
VOW.DE,Volkswagen AG,Frankfurt Stock Exchange,Germany,Goods
VOW3.DE,VOLKSWAGEN AG,GER,Germany,ConsumerDiscr
VPG,"VISHAY PRECISION GROUP, INC.",NYQ,United States,Technology
VRSK,Verisk Analytics Inc,NASDAQ Global Select,United States,Technology
VRT,Vertiv Holdings Co,NYQ,United States,Industrials
VRTX,Vertex Pharmaceuticals,NASDAQ Global Select,United States,Health Care
VSH,Vishay Intertechnology,NYSE Euronext,United States,Industrials
VST,Vistra Corp.,NYQ,United States,Utilities
VTR,Ventas Inc,NYSE Euronext,United States,Financials
VTRS,Viatris Inc.,NMS,United States,Health Care
VVC,Vectren Corp,NYSE Euronext,United States,Utilities
VZ,Verizon Communications,NASDAQ Global Select,United States,Technology
WAB,Wabtec Corp,NYSE Euronext,United States,Industrials
WAL,WESTERN ALLIANCE BANCORPORATION,NYQ,United States,Financials
WAT,Waters Corp,NYSE Euronext,United States,Health Care
WBD,"Warner Bros. Discovery, Inc.",NMS,United States,Services
WBS,WEBSTER FINANCIAL CORPORATION,NYQ,United States,Financials
WCC,Wesco International Inc,NYSE Euronext,United States,Industrials
WCN,Waste Connections Inc,NYSE Euronext,United States,Industrials
WD,"WALKER & DUNLOP, INC.",NYQ,United States,Financials
WDAY,Workday Inc,,United States,Technology
WDC,Western Digital Corp,NASDAQ Global Select,United States,Technology
WEC,Wisconsin Energy Corp,NYSE Euronext,United States,Utilities
WEIR.L,Weir Group,London Stock Exchange,United Kingdom,Goods
WELL,Welltower Inc.,NYQ,United States,Financials
WF,WOORI FINANCIAL GROUP INC.,NYQ,South Korea,Financials
WFC,Wells Fargo & Co,NYSE Euronext,United States,Financials
WGO,"WINNEBAGO INDUSTRIES, INC.",NYQ,United States,ConsumerDiscr
WH,"WYNDHAM HOTELS & RESORTS, INC.",NYQ,United States,ConsumerDiscr
WHG,"WESTWOOD HOLDINGS GROUP, INC.",NYQ,United States,Financials
WHR,Whirlpool Corp,NYSE Euronext,United States,Goods
WIT,WIPRO LIMITED,NYQ,India,Technology
WLK,Westlake Chemical Corp,NYSE Euronext,United States,Materials
WM,Waste Mgmt Inc,NYSE Euronext,United States,Industrials
WMB,Williams Companies Inc,NYSE Euronext,United States,Oil & Gas
WMK,"WEIS MARKETS, INC.",NYQ,United States,ConsumerStpl
WMS,"ADVANCED DRAINAGE SYSTEMS, INC.",NYQ,United States,Industrials
WMT,Wal Mart Stores Inc,NYSE Euronext,United States,Services
WNC,WABASH NATIONAL CORPORATION,NYQ,United States,Industrials
WOR,"WORTHINGTON ENTERPRISES, INC.",NYQ,United States,Industrials
WPP,WPP PLC,NYQ,United Kingdom,Technology
WPP.L,WPP,London Stock Exchange,United Kingdom,Services
WR,Westar Energy Inc,NYSE Euronext,United States,Utilities
WRB,WR Berkley Corporation ,NYSE Euronext,United States,Financials
WSM,Williams Sonoma Inc,NYSE Euronext,United States,Services
WSO,"WATSCO, INC.",NYQ,United States,Industrials
WST,"West Pharmaceutical Services, Inc.",NYQ,United States,Health Care
WTB.L,Whitbread,London Stock Exchange,United Kingdom,Services
WTI,"W&T OFFSHORE, INC.",NYQ,United States,Energy
WTM,White Mountains Insurance,NYSE Euronext,United States,Financials
WTS,"WATTS WATER TECHNOLOGIES, INC.",NYQ,United States,Industrials
WTW,Weight Watchers Intl,NYSE Euronext,United States,Services
WU,Western Union Co,NYSE Euronext,United States,Financials
WWW,"WOLVERINE WORLD WIDE, INC.",NYQ,United States,ConsumerDiscr
WX,CORGI ALL WORLD 2X DAILY ETF,BTS,US,Technology
WY,Weyerhaeuser Co,NYSE Euronext,United States,Financials
XEL,Xcel Energy Inc,NYSE Euronext,United States,Utilities
XOM,Exxon Mobil Corp,NYSE Euronext,United States,Oil & Gas
XRX,Xerox Corp,NYSE Euronext,United States,Industrials
XYL,Xylem Inc,NYSE Euronext,United States,Utilities
XYZ,"Block, Inc.",NYQ,United States,Technology
YPF,YPF SOCIEDAD ANÓNIMA,NYQ,Argentina,Energy
YUM,Yum! Brands Inc,NYSE Euronext,United States,Services
ZBH,"Zimmer Biomet Holdings, Inc.",NYQ,United States,Health Care
ZBRA,Zebra Technologies Corp,NASDAQ Global Select,United States,Technology
