"New Stock List as of 1/17/2014",,,
CP,CANADIAN PACIFIC KANSAS CITY LIMITED,NYQ,Canada,Industrials
CPA,Copa Holdings Sa,NYSE Euronext,Panama,Services
CPAY,"Corpay, Inc.",NYQ,United States,Technology
CPB,Campbell Soup Co,NYSE Euronext,United States,Goods
CPF,CENTRAL PACIFIC FINANCIAL CORP.,NYQ,United States,Financials
CPG.L,Compass Group,London Stock Exchange,United Kingdom,Services
CPI.L,Capita,London Stock Exchange,United Kingdom,Services
CPK,CHESAPEAKE UTILITIES CORPORATION,NYQ,United States,Utilities
CPRT,Copart Inc,NASDAQ Global Select,United States,Services
CPT,Camden Property Trust,NYSE Euronext,United States,Financials
CR,Crane Co,NYSE Euronext,United States,Industrials
CRD-A,CRAWFORD & COMPANY,NYQ,United States,Financials
CRD-B,CRAWFORD & COMPANY,NYQ,United States,Financials
CRDA.L,Croda International,London Stock Exchange,United Kingdom,Materials
CRH,CRH plc,NYQ,Ireland,Materials
CRI,Carter Inc,NYSE Euronext,United States,Goods
CRK,"COMSTOCK RESOURCES, INC.",NYQ,United States,Energy
CRL,Charles River Labs Intl,NYSE Euronext,United States,Health Care
CRM,Salesforce Com Inc,NYSE Euronext,United States,Technology
CRS,Carpenter Technology,NYSE Euronext,United States,Materials
CRWD,"CrowdStrike Holdings, Inc.",NMS,United States,Technology
CRWV,"COREWEAVE, INC.",NMS,United States,Technology
CRY,GRANITESHARES YIELDBOOST CRCL ETF,NGM,US,Technology
CS.PA,AXA Group,Euronext Paris,France,Financials
CSA,VICTORYSHARES US SMALL CAP VOLATILITY WTD ETF,NGM,US,Technology
CSCO,Cisco Systems,NASDAQ Global Select,United States,Technology
CSGP,"CoStar Group, Inc.",NMS,United States,Financials
CSL,Carlisle Cos Inc,NYSE Euronext,United States,Industrials
CSV,"CARRIAGE SERVICES, INC.",NYQ,United States,ConsumerDiscr
CSX,CSX Corp,NYSE Euronext,United States,Industrials
CTAS,Cintas Corp,NASDAQ Global Select,United States,Services
CTS,CTS CORPORATION,NYQ,United States,Technology
CTSH,Cognizant Tech Solution,NASDAQ Global Select,United States,Technology
CTVA,"Corteva, Inc.",NYQ,United States,Materials
CUB,LIONHEART HOLDINGS,NGM,United States,Financials
CUBE,CUBESMART,NYQ,United States,Financials
CUK,CUK,UNKNOWN,US,Technology
CUZ,COUSINS PROPERTIES INCORPORATED,NYQ,United States,Financials
CV,"CAPSOVISION, INC.",NCM,United States,Healthcare
CVE,CENOVUS ENERGY INC.,NYQ,Canada,Energy
CVG,CONVERGYS CORPORATION,YHD,US,Technology
CVI,CVR Energy Inc,,United States,Oil & Gas
CVNA,Carvana Co.,NYQ,United States,Goods
CVS,Cvs/Caremark Corp,NYSE Euronext,United States,Services
CVX,Chevron Corp,NYSE Euronext,United States,Oil & Gas
CW,CURTISS-WRIGHT CORPORATION,NYQ,United States,Industrials
CWH,Commonwealth Reit,NYSE Euronext,United States,Financials
CWT,CALIFORNIA WATER SERVICE GROUP,NYQ,United States,Utilities
CX,"CEMEX, S.A.B. DE C.V.",NYQ,Mexico,BasicMaterials
CXW,Corrections Corp Of Ame,NYSE Euronext,United States,Industrials
CYD,CHINA YUCHAI INTERNATIONAL LIMITED,NYQ,Singapore,ConsumerDiscr
CYH,Community Health System,NYSE Euronext,United States,Health Care
CYN,City National Corp,NYSE Euronext,United States,Financials
D,Dominion Resources Inc,NYSE Euronext,United States,Utilities
DAC,DANAOS CORPORATION,NYQ,Greece,Industrials
DAL,Delta Air Lines Inc,NYSE Euronext,United States,Services
DAN,DANA INCORPORATED,NYQ,United States,ConsumerDiscr
DAR,DARLING INGREDIENTS INC.,NYQ,United States,ConsumerStpl
DASH,"DoorDash, Inc.",NMS,United States,Goods
DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,NYQ,Germany,Financials
DB1.DE,DEUTSCHE BÖRSE AG,GER,Germany,Financials
DBD,Diebold Inc,NYSE Euronext,United States,Technology
DBK.DE,Deutsche Bank Ag,Frankfurt Stock Exchange,Germany,Financials
DCC.L,DCC PLC,LSE,Ireland,Energy
DCI,Donaldson Inc,NYSE Euronext,United States,Industrials
DCO,DUCOMMUN INCORPORATED,NYQ,United States,Industrials
DD,Du Pont E I De Nemours,NYSE Euronext,United States,Materials
DDD,3D Systems Corp,NYSE Euronext,United States,Technology
DDOG,"Datadog, Inc.",NMS,United States,Technology
DDS,Dillards Inc,NYSE Euronext,United States,Services
DE,Deere & Co,NYSE Euronext,United States,Industrials
DECK,Deckers Outdoor Corp,NASDAQ Global Select,United States,Goods
DEI,Douglas Emmett Inc,NYSE Euronext,United States,Financials
DELL,Dell Technologies Inc.,NYQ,United States,Technology
DEO,DIAGEO PLC,NYQ,United Kingdom,ConsumerStpl
DG,Dollar General Corp,NYSE Euronext,United States,Services
DG.PA,Vinci,Euronext Paris,France,Goods
DGE.L,Diageo,London Stock Exchange,United Kingdom,Goods
DGX,Quest Diagnostics Inc,NYSE Euronext,United States,Health Care
DHI,D R Horton Inc,NYSE Euronext,United States,Goods
DHL.DE,DEUTSCHE POST AG,GER,Germany,Industrials
DHR,Danaher Corp,NYSE Euronext,United States,Industrials
DHT,"DHT HOLDINGS, INC.",NYQ,Bermuda,Energy
DHX,"DHI GROUP, INC.",NYQ,United States,Technology
DIN,"DINE BRANDS GLOBAL, INC.",NYQ,United States,ConsumerDiscr
DIS,The Walt Disney Company,NYSE Euronext,United States,Services
DK,"DELEK US HOLDINGS, INC.",NYQ,United States,Energy
DKNG,DRAFTKINGS INC.,NMS,United States,ConsumerDiscr
DKS,Dicks Sporting Goods In,NYSE Euronext,United States,Services
DLB,Dolby Laboratories Inc,NYSE Euronext,United States,Services
DLR,Digital Realty Trust In,NYSE Euronext,United States,Financials
