Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Felcor Lodging Trust Inc.,FCH,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States,FCH
FTI Consulting Inc.,FCN,Industrials,Business Support Services,NO,NO,United States,United States,FCN
Fairchild Semiconductor International Inc.,FCS,Technology,Semiconductors,NO,NO,United States,United States,FCS
Freeport-McMoRan Copper & Gold Inc.,FCX,Basic Materials,Nonferrous Metals,YES,NO,United States,United States,FCX
Family Dollar Stores Inc.,FDO,Consumer Services,Specialty Retailers,YES,NO,United States,United States,FDO
Fresh Del Monte Produce Inc.,FDP,Consumer Goods,Food Products,NO,NO,United States,United States,FDP
FactSet Research Systems Inc.,FDS,Consumer Services,Publishing,NO,NO,United States,United States,FDS
FedEx Corp.,FDX,Industrials,Delivery Services,YES,NO,United States,United States,FDX
FirstEnergy Corp.,FE,Utilities,Conventional Electricity,YES,NO,United States,United States,FE
Phoenix New Media Ltd. Cl A,FENG,Consumer Services,undefined,NO,NO,China,Asia-Pacific,645
FutureFuel Corp.,FF,Basic Materials,undefined,NO,NO,United States,United States,646
FBL Financial Group Inc.,FFG,Financials,Life Insurance,NO,NO,United States,United States,FFG
First Horizon National Corp.,FHN,Financials,Banks,YES,NO,United States,United States,FHN
Fair Isaac Corp.,FICO,Technology,Software,NO,NO,United States,United States,FICO
Federated Investors Inc.,FII,Financials,Asset Managers,YES,NO,United States,United States,FII
Fusion-io Inc.,FIO,Technology,undefined,NO,NO,United States,United States,651
Fidelity National Information Services Inc.,FIS,Industrials,Financial Administration,YES,NO,United States,United States,FIS
Comfort Systems USA Inc.,FIX,Industrials,Business Support Services,NO,NO,United States,United States,FIX
Foot Locker Inc.,FL,Consumer Services,Apparel Retailers,NO,NO,United States,United States,FL
Flowers Foods Inc.,FLO,Consumer Goods,Food Products,NO,NO,United States,United States,FLO
Fluor Corp.,FLR,Industrials,Heavy Construction,YES,NO,United States,United States,FLR
Flowserve Corp.,FLS,Industrials,Industrial Machinery,YES,NO,United States,United States,FLS
FleetCor Technologies Inc.,FLT,Industrials,undefined,NO,NO,United States,United States,658
Babcock & Brown Air Ltd.,FLY,Industrials,Transportation Services,NO,NO,Ireland,Europe,FLY
FMC Corp.,FMC,Basic Materials,Specialty Chemicals,YES,NO,United States,United States,FMC
